"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://magicworksitsolutions.com/","1","MagicWorks · AI-First Digital Marketing Agency in Pune · MagicWorks","67","613","Indexable",""
"https://magicworksitsolutions.com/services","1","Services · MagicWorks","21","201","Indexable",""
"https://magicworksitsolutions.com/insights/reports","1","Reports · Insights · MagicWorks","31","281","Indexable",""
"https://magicworksitsolutions.com/careers","1","Careers at MagicWorks · MagicWorks","34","333","Indexable",""
"https://magicworksitsolutions.com/industries/manufacturing","1","Digital Marketing & AI Consultation for Manufacturing · MagicWorks","66","601","Indexable",""
"https://magicworksitsolutions.com/services/ai-consultation","1","AI Consultation for Founders & Operators · MagicWorks","53","490","Indexable",""
"https://magicworksitsolutions.com/group/magicflow-ai","1","MagicFlow AI · MagicWorks Group · MagicWorks","44","432","Indexable",""
"https://magicworksitsolutions.com/industries/professional-services","1","AI Consultation & Digital Marketing for Professional Services · MagicWorks","74","661","Indexable",""
"https://magicworksitsolutions.com/services/digital-marketing","1","Digital Marketing Agency in Pune · MagicWorks","45","418","Indexable",""
"https://magicworksitsolutions.com/industries/real-estate","1","Digital Marketing & Web for Real Estate · MagicWorks","52","472","Indexable",""
"https://magicworksitsolutions.com/industries/education","1","Digital Marketing & Web Development for Education · MagicWorks","62","582","Indexable",""
"https://magicworksitsolutions.com/blog","1","Blog · MagicWorks","17","166","Indexable",""
"https://magicworksitsolutions.com/privacy","1","Privacy Policy · MagicWorks","27","250","Non-Indexable","noindex"
"https://magicworksitsolutions.com/work","1","Work · MagicWorks","17","172","Indexable",""
"https://magicworksitsolutions.com/about","1","About MagicWorks · MagicWorks","29","295","Indexable",""
"https://magicworksitsolutions.com/terms","1","Terms of Use · MagicWorks","25","245","Non-Indexable","noindex"
"https://magicworksitsolutions.com/group/magic-pipeline","1","Magic Pipeline · MagicWorks Group · MagicWorks","46","442","Indexable",""
"https://magicworksitsolutions.com/group/magicworks-host","1","MagicWorks Host · MagicWorks Group · MagicWorks","47","470","Indexable",""
"https://magicworksitsolutions.com/contact","1","Get in Touch · MagicWorks","25","238","Indexable",""
"https://magicworksitsolutions.com/services/web-development","1","AI-Native Website Development · MagicWorks","42","404","Indexable",""
"https://magicworksitsolutions.com/insights/whitepapers","1","Whitepapers | Insights · MagicWorks","35","323","Indexable",""
"https://magicworksitsolutions.com/services/web-development/maintenance-amc","1","Web AMC & Website Maintenance · MagicWorks · MagicWorks","55","554","Indexable",""
"https://magicworksitsolutions.com/services/platform-consultation","1","Marketplace & Platform Consultation · MagicWorks","48","454","Indexable",""
"https://magicworksitsolutions.com/insights/whitepapers/ai-automation-readiness-indian-smes","1","AI Automation Readiness for Indian SMEs | Whitepapers · MagicWorks","66","622","Indexable",""
"https://magicworksitsolutions.com/insights/whitepapers/performance-marketing-roi","1","Performance Marketing ROI: The MagicWorks Framework | Whitepapers · MagicWorks","78","762","Indexable",""
"https://magicworksitsolutions.com/services/web-development/ai-native-websites","1","AI-Native Website Development · MagicWorks · MagicWorks","55","530","Indexable",""
"https://magicworksitsolutions.com/services/platform-consultation/roadmap-audit","1","Platform Roadmap Audit · MagicWorks · MagicWorks","48","472","Indexable",""
"https://magicworksitsolutions.com/services/web-development/ecommerce","1","E-commerce Website Development · MagicWorks · MagicWorks","56","561","Indexable",""
"https://magicworksitsolutions.com/services/platform-consultation/advisory-sprint","1","Targeted Advisory Sprint · Platform Consultation · MagicWorks · MagicWorks","74","680","Indexable",""
"https://magicworksitsolutions.com/work/b2b-enterprise-software-abm-demos","1","B2B Enterprise Software Company Achieves 85 Demo Bookings Per Month With Account-Based Marketing · MagicWorks","109","1064","Indexable",""
"https://magicworksitsolutions.com/services/platform-consultation/workshop","1","Platform Strategy Workshop · MagicWorks · MagicWorks","52","503","Indexable",""
"https://magicworksitsolutions.com/services/platform-consultation/embedded-advisor","1","Embedded Platform Advisor · MagicWorks · MagicWorks","51","501","Indexable",""
"https://magicworksitsolutions.com/work/regional-retail-chain-footfall-growth","1","Regional Retail Chain Increases Footfall 27% With Hyperlocal Store-Level Marketing · MagicWorks","95","860","Indexable",""
"https://magicworksitsolutions.com/work/commercial-contractor-b2b-project-inquiries","1","Commercial Contractor Generates 13 Project Inquiries Per Month With B2B Digital Credibility Build · MagicWorks","110","988","Indexable",""
"https://magicworksitsolutions.com/work/boutique-resort-direct-booking-growth","1","Boutique Resort Grows Direct Bookings 38% and Reduces OTA Commission Dependency · MagicWorks","92","907","Indexable",""
"https://magicworksitsolutions.com/work/aishwaryam-real-estate-pipeline","1","Aishwaryam Group Drives 6,500+ Units Into Pipeline With Dual-Funnel Campaigns · MagicWorks","90","846","Indexable",""
"https://magicworksitsolutions.com/work/srj-steel-b2b-digital-presence","1","SRJ Steel Builds a Full-Funnel Digital Presence From Zero to 110+ RFQs Per Month · MagicWorks","93","854","Indexable",""
"https://magicworksitsolutions.com/work/multi-specialty-hospital-opd-growth","1","Multi-Specialty Hospital Adds 1,100 OPD Bookings Per Month With Local SEO and Reputation Recovery · MagicWorks","110","1033","Indexable",""
"https://magicworksitsolutions.com/work/design-institute-2x-inquiry-growth","1","Design Institute Grows Monthly Inquiries 2.6X With Brand-Led Digital Marketing · MagicWorks","91","825","Indexable",""
"https://magicworksitsolutions.com/work/steel-manufacturer-b2b-rfq-growth","1","Steel Manufacturer Generates 110+ RFQs Per Month With B2B SEO and LinkedIn Outreach · MagicWorks","96","922","Indexable",""
"https://magicworksitsolutions.com/work/trexova-wellness-tourism-pipeline","1","Trexova Builds a Global Wellness Tourism Pipeline With 3,400 Leads and 36% Conversion · MagicWorks","98","914","Indexable",""
"https://magicworksitsolutions.com/work/d2c-lifestyle-brand-roas-growth","1","D2C Lifestyle Brand Achieves 3.5X ROAS and ₹32L Monthly Revenue With Full-Funnel Rebuild · MagicWorks","101","946","Indexable",""
"https://magicworksitsolutions.com/blog/pune-businesses-ai-social-media-traditional-agencies-2026","1","AI Social Media Services for Pune Businesses 2026: The Switch Explained · MagicWorks","84","778","Indexable",""
"https://magicworksitsolutions.com/blog/real-cost-of-ai-indian-marketing-sales-2026","1","The Real Cost of AI in Indian Marketing & Sales: 2026 Guide · MagicWorks","72","652","Indexable",""
"https://magicworksitsolutions.com/blog/google-ai-mode-india-advertisers-2026","1","Google AI Overviews & AI Max in India: 90-Day Playbook · MagicWorks","67","619","Indexable",""
"https://magicworksitsolutions.com/blog/website-development-cost-india","1","Website Development Cost India 2026: Rs 15K vs Rs 2 Lakh — The Real Comparison · MagicWorks","91","866","Indexable",""
"https://magicworksitsolutions.com/blog/ai-chatbot-vs-lead-forms-b2b-india","1","AI Chatbots vs Lead Forms India B2B 2026: Conversion Data Compared · MagicWorks","79","757","Indexable",""
"https://magicworksitsolutions.com/blog/transform-your-online-presence-with-website-development-solutions-tailored-for-shopify","1","Shopify Website Development India 2026: Setup, Costs and Best Practices · MagicWorks","84","781","Indexable",""
"https://magicworksitsolutions.com/blog/ai-social-media-services-vs-traditional-agencies-2026","1","AI Social Media Services vs Traditional Agencies India 2026 · MagicWorks","72","653","Indexable",""
