"Address","Indexability","Indexability Status","rel=""next"" 1","HTTP rel=""next"" 1","rel=""prev"" 1","HTTP rel=""prev"" 1","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1"
"https://magicworksitsolutions.com/","Indexable","","","","","","https://magicworksitsolutions.com/","","index, follow",""
"https://magicworksitsolutions.com/services","Indexable","","","","","","https://magicworksitsolutions.com/services","","index, follow",""
"https://magicworksitsolutions.com/insights/reports","Indexable","","","","","","https://magicworksitsolutions.com/insights/reports","","index, follow",""
"https://magicworksitsolutions.com/careers","Indexable","","","","","","https://magicworksitsolutions.com/careers","","index, follow",""
"https://magicworksitsolutions.com/industries/manufacturing","Indexable","","","","","","https://magicworksitsolutions.com/industries/manufacturing","","index, follow",""
"https://magicworksitsolutions.com/services/ai-consultation","Indexable","","","","","","https://magicworksitsolutions.com/services/ai-consultation","","index, follow",""
"https://magicworksitsolutions.com/group/magicflow-ai","Indexable","","","","","","https://magicworksitsolutions.com/group/magicflow-ai","","index, follow",""
"https://magicworksitsolutions.com/industries/professional-services","Indexable","","","","","","https://magicworksitsolutions.com/industries/professional-services","","index, follow",""
"https://magicworksitsolutions.com/services/digital-marketing","Indexable","","","","","","https://magicworksitsolutions.com/services/digital-marketing","","index, follow",""
"https://magicworksitsolutions.com/industries/real-estate","Indexable","","","","","","https://magicworksitsolutions.com/industries/real-estate","","index, follow",""
"https://magicworksitsolutions.com/industries/education","Indexable","","","","","","https://magicworksitsolutions.com/industries/education","","index, follow",""
"https://magicworksitsolutions.com/blog","Indexable","","","","","","https://magicworksitsolutions.com/blog","","index, follow",""
"https://magicworksitsolutions.com/privacy","Non-Indexable","noindex","","","","","https://magicworksitsolutions.com/privacy","","noindex, nofollow",""
"https://magicworksitsolutions.com/work","Indexable","","","","","","https://magicworksitsolutions.com/work","","index, follow",""
"https://magicworksitsolutions.com/about","Indexable","","","","","","https://magicworksitsolutions.com/about","","index, follow",""
"https://magicworksitsolutions.com/terms","Non-Indexable","noindex","","","","","https://magicworksitsolutions.com/terms","","noindex, nofollow",""
"https://magicworksitsolutions.com/group/magic-pipeline","Indexable","","","","","","https://magicworksitsolutions.com/group/magic-pipeline","","index, follow",""
"https://magicworksitsolutions.com/group/magicworks-host","Indexable","","","","","","https://magicworksitsolutions.com/group/magicworks-host","","index, follow",""
"https://magicworksitsolutions.com/contact","Indexable","","","","","","https://magicworksitsolutions.com/contact","","index, follow",""
"https://magicworksitsolutions.com/services/web-development","Indexable","","","","","","https://magicworksitsolutions.com/services/web-development","","index, follow",""
"https://magicworksitsolutions.com/insights/whitepapers","Indexable","","","","","","https://magicworksitsolutions.com/insights/whitepapers","","index, follow",""
"https://magicworksitsolutions.com/services/web-development/maintenance-amc","Indexable","","","","","","https://magicworksitsolutions.com/services/web-development/maintenance-amc","","index, follow",""
"https://magicworksitsolutions.com/services/platform-consultation","Indexable","","","","","","https://magicworksitsolutions.com/services/platform-consultation","","index, follow",""
"https://magicworksitsolutions.com/insights/whitepapers/ai-automation-readiness-indian-smes","Indexable","","","","","","https://magicworksitsolutions.com/insights/whitepapers/ai-automation-readiness-indian-smes","","index, follow",""
"https://magicworksitsolutions.com/insights/whitepapers/performance-marketing-roi","Indexable","","","","","","https://magicworksitsolutions.com/insights/whitepapers/performance-marketing-roi","","index, follow",""
"https://magicworksitsolutions.com/services/web-development/ai-native-websites","Indexable","","","","","","https://magicworksitsolutions.com/services/web-development/ai-native-websites","","index, follow",""
"https://magicworksitsolutions.com/services/platform-consultation/roadmap-audit","Indexable","","","","","","https://magicworksitsolutions.com/services/platform-consultation/roadmap-audit","","index, follow",""
"https://magicworksitsolutions.com/services/web-development/ecommerce","Indexable","","","","","","https://magicworksitsolutions.com/services/web-development/ecommerce","","index, follow",""
"https://magicworksitsolutions.com/services/platform-consultation/advisory-sprint","Indexable","","","","","","https://magicworksitsolutions.com/services/platform-consultation/advisory-sprint","","index, follow",""
"https://magicworksitsolutions.com/work/b2b-enterprise-software-abm-demos","Indexable","","","","","","https://magicworksitsolutions.com/work/b2b-enterprise-software-abm-demos","","index, follow",""
"https://magicworksitsolutions.com/services/platform-consultation/workshop","Indexable","","","","","","https://magicworksitsolutions.com/services/platform-consultation/workshop","","index, follow",""
"https://magicworksitsolutions.com/services/platform-consultation/embedded-advisor","Indexable","","","","","","https://magicworksitsolutions.com/services/platform-consultation/embedded-advisor","","index, follow",""
"https://magicworksitsolutions.com/work/regional-retail-chain-footfall-growth","Indexable","","","","","","https://magicworksitsolutions.com/work/regional-retail-chain-footfall-growth","","index, follow",""
"https://magicworksitsolutions.com/work/commercial-contractor-b2b-project-inquiries","Indexable","","","","","","https://magicworksitsolutions.com/work/commercial-contractor-b2b-project-inquiries","","index, follow",""
"https://magicworksitsolutions.com/work/boutique-resort-direct-booking-growth","Indexable","","","","","","https://magicworksitsolutions.com/work/boutique-resort-direct-booking-growth","","index, follow",""
"https://magicworksitsolutions.com/work/aishwaryam-real-estate-pipeline","Indexable","","","","","","https://magicworksitsolutions.com/work/aishwaryam-real-estate-pipeline","","index, follow",""
"https://magicworksitsolutions.com/work/srj-steel-b2b-digital-presence","Indexable","","","","","","https://magicworksitsolutions.com/work/srj-steel-b2b-digital-presence","","index, follow",""
"https://magicworksitsolutions.com/work/multi-specialty-hospital-opd-growth","Indexable","","","","","","https://magicworksitsolutions.com/work/multi-specialty-hospital-opd-growth","","index, follow",""
